"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
393355	438	382	153	0	509	606	0	0	0	0	
393757	421	70	140	0	708	497	0	0	0	0	
393850	1240	411	43	0	1044	258	0	0	0	0	
393953	1130	222	61	0	1037	190	0	0	0	0	
394053	1242	449	74	0	1025	306	0	0	0	0	
394156	414	0	40	0	412	38	0	0	0	0	
394259	2232	150	202	0	2256	376	0	0	0	0	
394352	243	24	14	0	214	9	0	0	0	0	
394932	243	100	26	0	290	173	0	0	0	0	
395238	33091	11750	3508	0	31308	13475	0	0	0	0	
395256	347	5	1	0	342	1	0	0	0	0	
395377	5071	240	185	0	5316	670	0	0	0	0	
395452	277	0	0	0	278	1	0	0	0	0	
395555	3526	0	17	0	3614	105	0	0	0	0	
395779	169	30	1	0	176	38	0	0	0	0	
395836	3856	993	243	0	3768	1148	0	0	0	0	
396057	462	48	8	0	490	84	0	0	0	0	
396244	488	692	481	0	385	1070	0	0	0	0	
396253	530	0	119	0	508	97	0	0	0	0	
396271	4496	760	0	0	3755	0	-19	0	0	0	
396356	250	9	2	0	242	3	0	0	0	0	
396954	381	302	58	0	376	355	0	0	0	0	
397447	1372	15	23	0	1650	316	0	0	0	0	
397456	281	40	48	0	238	45	0	0	0	0	
397531	5058	2340	363	0	4827	2472	0	0	0	0	
397540	6113	0	1434	0	5940	1261	0	0	0	0	
397559	81	65	0	0	118	102	0	0	0	0	
397755	418	207	5	0	257	51	0	0	0	0	
397858	400	56	21	0	400	77	0	0	0	0	
398051	414	247	3	0	224	60	0	0	0	0	
398248	1078	0	38	0	1132	92	0	0	0	0	
398350	19627	12742	1149	0	15740	10004	0	0	0	0	
398631	535	21	11	0	514	11	0	0	0	0	
398668	0	0	0	0	0	0	0	0	0	0	
398837	730	88	41	0	715	114	0	0	0	0	
399067	670	480	192	0	695	697	0	0	0	0	
399142	13612	7200	3264	0	13716	10568	0	0	0	0	
399357	354	40	61	0	499	246	0	0	0	0	
399517	5585	800	120	0	5764	1099	0	0	0	0	
399731	500	90	107	0	344	41	0	0	0	0	
400057	996	182	78	0	1061	335	10	0	0	0	
400141	1250	87	339	0	2509	1685	0	0	0	0	
400253	10688	6520	375	0	9427	5634	0	0	0	0	
400365	1428	842	88	0	1068	570	0	0	0	0	
400552	134	0	0	0	134	0	0	0	0	0	
400758	978	220	15	0	1046	303	0	0	0	0	
