RIAD4097,RIAD4235,RIAD4239,RIAD4341,RIAD4797,RIAD4843,RIAD4844,RIAD4845,RIAD4846,RIADB523,RIADB524,RIADB525,RIADC899,RIADC900,RIADC902,RIADC903,RIADC904,RIADC905,RIADC907,RIADC908,RIADC909,RIADC911,RIADC913,RIADC914,RIADGW64,RIADJA28,RIADKW02,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,56717,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,57040,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,57228,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,57255,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,57451,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,57572,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,57956,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,58074,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,58207,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,58225,2008-12-31
,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,58243,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,58355,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,58551,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,58636,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,58757,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,58971,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,59316,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,59352,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,59679,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,59754,2008-12-31
,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,60143,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,60330,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,60433,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,60545,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,60554,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,60648,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,61122,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,61355,2008-12-31
