RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,375,0,39,110,0,0,0,0,77,149,0,0,0,,37051,2012-09-30
,,,,,,,,,,,,,578,0,370,0,0,0,0,0,75,133,0,370,0,,37341,2012-09-30
,,,,,,,,,,,,,524,0,115,0,0,104,0,0,48,361,0,0,0,,37378,2012-09-30
,,,,,,,,,,,,,4362,0,216,0,0,179,0,0,711,3435,0,0,0,,37435,2012-09-30
,,,,,,,,,,,,,19493,0,3701,7103,0,0,0,0,963,7726,0,1806,0,,37640,2012-09-30
,,,,,,,,,,,,,552,0,523,0,0,0,0,0,12,17,0,523,0,,37659,2012-09-30
,,,,,,,,,,,,,334,0,1,61,0,0,0,0,62,210,0,0,0,,37743,2012-09-30
,,,,,,,,,,,,,211,0,0,0,0,0,0,0,73,138,0,0,0,,37949,2012-09-30
,,,,,,,,,,,,,1220,0,146,250,0,92,0,0,136,688,0,0,0,,38740,2012-09-30
,,,,,,,,,,,,,474,0,0,382,0,0,0,0,60,32,0,0,0,,39327,2012-09-30
,,,,,,,,,,,,,3987,0,2528,0,0,665,0,0,932,527,0,0,0,,39420,2012-09-30
,,,,,,,,,,,,,27681,0,17026,0,0,0,0,0,555,9265,835,8889,0,,39475,2012-09-30
,,,,,,,,,,,,,3894,0,2658,0,0,0,0,0,142,1094,0,686,0,,39756,2012-09-30
,,,,,,,,,,,,,569,0,327,0,0,0,0,0,27,215,0,327,0,,40033,2012-09-30
,,,,,,,,,,,,,120,0,30,11,0,0,0,0,39,40,0,0,0,,40350,2012-09-30
,,,,,,,,,,,,,1028,0,100,0,0,84,0,0,54,874,0,0,0,,40707,2012-09-30
,,,,,,,,,,,,,485,0,0,0,0,0,0,0,242,243,0,0,0,,40855,2012-09-30
,,,,,,,,,,,,,162,0,110,0,5,0,0,0,46,6,0,99,0,,41245,2012-09-30
,,,,,,,,,,,,,19,0,0,0,0,0,0,0,19,0,0,0,0,,41553,2012-09-30
,,,,,,,,,,,,,2693,0,0,0,0,0,0,0,165,2528,0,0,0,,41629,2012-09-30
,,,,,,,,,,,,,79,0,22,0,0,0,0,0,57,0,0,0,0,,41759,2012-09-30
,,,,,,,,,,,,,751,0,578,0,12,0,0,0,3,104,66,561,0,,41825,2012-09-30
,,,,,,,,,,,,,522,0,10,431,10,0,0,0,35,46,0,0,0,,41937,2012-09-30
,,,,,,,,,,,,,113,0,85,0,0,0,0,0,8,20,0,85,0,,41955,2012-09-30
,,,,,,,,,,,,,229,0,13,0,0,0,0,0,34,182,0,0,0,,42037,2012-09-30
,,,,,,,,,,,,,273,0,102,0,0,0,0,0,44,127,0,102,0,,42055,2012-09-30
,,,,,,,,,,,,,403,0,43,0,0,0,0,0,17,343,0,0,0,,42354,2012-09-30
,,,,,,,,,,,,,1766,0,1700,0,0,0,0,0,24,42,0,1700,0,,42372,2012-09-30
,,,,,,,,,,,,,52177,0,24573,0,0,0,0,0,1293,24205,2106,0,20004,,42420,2012-09-30
,,,,,,,,,,,,,2036,0,689,0,0,182,136,0,983,230,134,0,0,,42448,2012-09-30
,,,,,,,,,,,,,223,0,0,159,0,0,0,0,7,57,0,0,0,,42457,2012-09-30
,,,,,,,,,,,,,4123,0,1460,0,1368,0,0,0,18,2645,0,0,0,,42671,2012-09-30
,,,,,,,,,,,,,480,0,2,155,0,0,0,0,40,283,0,0,0,,43052,2012-09-30
,,,,,,,,,,,,,72,0,48,0,46,0,0,0,24,0,0,0,0,,43351,2012-09-30
,,,,,,,,,,,,,34,0,0,0,0,0,0,0,7,27,0,0,0,,43454,2012-09-30
,,,,,,,,,,,,,618,0,1,0,0,0,0,0,41,576,0,0,0,,43744,2012-09-30
,,,,,,,,,,,,,567,0,511,0,0,0,0,0,13,43,0,478,0,,43856,2012-09-30
,,,,,,,,,,,,,959,0,12,581,0,0,0,0,70,296,0,0,0,,43959,2012-09-30
,,,,,,,,,,,,,1333,0,6,0,0,0,0,0,76,1251,0,0,0,,44040,2012-09-30
,,,,,,,,,,,,,1135,0,497,0,267,92,0,0,86,453,99,0,0,,44433,2012-09-30
