RCFN2200,RCFN2625,RCFN2650,RCFNA245,RCFNB553,RCFNB554,RCFNB555,IDRSSD,RCON9999
,,,,,,,139133,2014-06-30
,,,,,,,139478,2014-06-30
,,,,,,,139553,2014-06-30
,,,,,,,139656,2014-06-30
,,,,,,,139740,2014-06-30
,,,,,,,139834,2014-06-30
,,,,,,,139843,2014-06-30
,,,,,,,139955,2014-06-30
,,,,,,,140018,2014-06-30
,,,,,,,140157,2014-06-30
,,,,,,,140362,2014-06-30
,,,,,,,140634,2014-06-30
,,,,,,,141211,2014-06-30
,,,,,,,141341,2014-06-30
,,,,,,,141350,2014-06-30
,,,,,,,141453,2014-06-30
,,,,,,,141556,2014-06-30
,,,,,,,141677,2014-06-30
,,,,,,,141958,2014-06-30
,,,,,,,142049,2014-06-30
,,,,,,,142179,2014-06-30
,,,,,,,142571,2014-06-30
,,,,,,,142656,2014-06-30
,,,,,,,142955,2014-06-30
,,,,,,,143073,2014-06-30
,,,,,,,143372,2014-06-30
,,,,,,,143662,2014-06-30
,,,,,,,143859,2014-06-30
,,,,,,,143952,2014-06-30
,,,,,,,144034,2014-06-30
,,,,,,,144052,2014-06-30
,,,,,,,144155,2014-06-30
,,,,,,,144436,2014-06-30
,,,,,,,144678,2014-06-30
,,,,,,,144856,2014-06-30
,,,,,,,144913,2014-06-30
,,,,,,,145059,2014-06-30
,,,,,,,145545,2014-06-30
,,,,,,,145554,2014-06-30
,,,,,,,145741,2014-06-30
,,,,,,,145750,2014-06-30
,,,,,,,145844,2014-06-30
,,,,,,,145956,2014-06-30
,,,,,,,146056,2014-06-30
,,,,,,,146618,2014-06-30
,,,,,,,146654,2014-06-30
,,,,,,,146663,2014-06-30
,,,,,,,146672,2014-06-30
,,,,,,,146850,2014-06-30
,,,,,,,147633,2014-06-30
,,,,,,,147651,2014-06-30
,,,,,,,147679,2014-06-30
,,,,,,,147857,2014-06-30
,,,,,,,147923,2014-06-30
,,,,,,,148171,2014-06-30
,,,,,,,148238,2014-06-30
,,,,,,,148340,2014-06-30
,,,,,,,148470,2014-06-30
,,,,,,,148715,2014-06-30
,,,,,,,148809,2014-06-30
,,,,,,,148920,2014-06-30
,,,,,,,149150,2014-06-30
,,,,,,,149253,2014-06-30
,,,,,,,149271,2014-06-30
,,,,,,,150035,2014-06-30
,,,,,,,150044,2014-06-30
,,,,,,,150156,2014-06-30
,,,,,,,150334,2014-06-30
,,,,,,,150352,2014-06-30
,,,,,,,150727,2014-06-30
,,,,,,,151546,2014-06-30
,,,,,,,151555,2014-06-30
,,,,,,,151751,2014-06-30
,,,,,,,151872,2014-06-30
,,,,,,,151957,2014-06-30
,,,,,,,152057,2014-06-30
,,,,,,,152253,2014-06-30
