RCON8725,RCONA126,RCONC391,RCONFT00,RCONFT01,RCONFT02,RCONFT03,RCONFT04,RCONFT05,RCONFT06,RCONFT07,RCONFT08,RCONFT09,RCONFT10,RCONFT11,RCONFT12,RCONFT13,RCONFT14,RCONFT15,RCONFT16,RCONHK18,RCONHK19,RIADC388,RIADC389,RIADC390,RIADF551,RIADF553,IDRSSD,RCON9999
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,61757,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,61832,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,61953,2017-09-30
,,,false,,,false,,,false,false,,false,,true,1925,false,,,false,,,,,,,,62044,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,62110,2017-09-30
,,,false,,,false,,,false,false,,true,396,true,57530,false,,,false,,,,,,,,62147,2017-09-30
14397,0,,true,0,0,false,,,false,true,2843,true,6563,true,1742,false,,,false,,,,,,,,62772,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,63050,2017-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,63069,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,63201,2017-09-30
,,,false,,,false,,,false,false,,false,,true,49530,false,,,false,,,,,,,,63573,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,63733,2017-09-30
24147,0,,true,0,0,false,,,false,false,,true,1394,true,152628,false,,,false,,,,,,,,63742,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,63751,2017-09-30
,,,false,,,true,18703,2648,false,false,,false,,false,,false,,,false,,,,,,,,64150,2017-09-30
812,0,,true,0,0,true,10145,812,false,false,,true,50979,true,167655,false,,,false,,,,,,,,64543,2017-09-30
31560,0,,,,,,,,,,,,,,,,,,,,,,,,,,64552,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,64730,2017-09-30
,,,false,,,false,,,false,false,,true,796,true,796,false,,,false,,,,,,,,65205,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,65241,2017-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,65513,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,65559,2017-09-30
0,8392,,,,,,,,,,,,,,,,,,,,,,,,,,65746,2017-09-30
23921,0,,,,,,,,,,,,,,,,,,,,,,,,,,65858,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,66154,2017-09-30
,,,false,,,false,,,false,false,,false,,true,195,false,,,false,,,,,,,,66275,2017-09-30
15099,0,,,,,,,,,,,,,,,,,,,,,,,,-44,0,66677,2017-09-30
,,,false,,,false,,,false,false,,false,,true,1201,false,,,false,,,,,,,,67142,2017-09-30
100082,0,,true,0,0,false,,,false,false,,false,,false,,false,,,false,,,,,,,,67151,2017-09-30
8029,0,,true,0,4999,false,,,false,false,,true,34786,true,50044,false,,,false,,,,,,,,67209,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,67254,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,67656,2017-09-30
