"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	TEXT4087	
609609																														1307	0	0	0	1307	0	true	0	0	0	0	0	0	0	0	0	3463	4	2602	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.bnbbank.com	
609645																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	682	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
609832																														538	0	61	0	0	5000	true	0	0	0	538	0	0	61	0	0	2760	2	0	0	true	0	0	0	3000	2000	0	0	0	0	0	0	0	0	0	http://tompkinsstatebank.com	
610128																														3949	0	65	0	0	0	false	0	0	0	3949	0	0	65	0	0	2820	2	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.bsvnet.com	
610155																														23	0	0	1521	0	4368	true	0	0	0	0	0	0	0	0	0	4064	3	0	23	false	0	0	0	1521	0	1988	859	0	0	0	0	0	0	0	http://www.mtnwestbank.net	
610164																														448	0	217	0	0	1717	true	0	0	0	448	0	0	43	0	174	4030	4	0	0	false	0	0	0	64	592	1061	0	0	0	0	0	0	0	0	www.herringbank.com	
610539																														0	0	0	0	0	2614	false	0	0	0	0	0	0	0	0	0	1312	3	0	0	false	0	0	0	0	180	578	1856	0	0	0	0	0	0	0		
610557																														0	11	0	0	0	483	true	0	0	11	0	0	0	0	0	0	3319	2	0	0	false	0	0	0	0	0	0	483	0	0	0	0	0	0	0	www.threeriversbankmontana.com	
610623																														0	0	67	0	0	0	true	0	0	0	0	0	0	67	0	0	8243	6	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.countybankmd.com	
610847																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	657	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.montrosestatebank.com	
610913																														117	0	63	9	117	1338	true	0	0	0	0	3	0	60	0	0	52	0	117	0	false	0	369	0	9	62	0	898	0	369	0	0	0	0	369	www.fnbgrayson.com	
611031																														114	74	15	0	0	8000	true	0	0	74	114	0	0	15	0	0	1826	2	0	0	false	0	0	0	0	8000	0	0	0	0	0	0	0	0	0	http://tpbeatonton.com	
611246																														0	0	0	1000	0	1000	true	0	0	0	0	0	0	0	0	0	499	0	0	0	false	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	http://www.fsbcp.com	
