"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
99255											117					1800	0	0	0	
99442											1625					34300	0	0	0	
99536											495					0	0	0	0	
99853											61					0	0	0	0	
99974											358					6000	0	0	0	
100160											2146					2500	0	0	30000	
100236											361					0	0	0	0	
100357											713					0	0	0	0	
100553											305					3395	0	0	0	
100562											8202					142348	5	0	0	
100843											3699					67612	0	0	1401	
101019	117003	523417	137341	482076	4193	492553	23789	456481	46489	2288592	16345	0	5366535	1137039	3821195	297035	5250	39959	25319	
101037											613					669	0	0	0	
101233											33933					840000	0	45373	115173	
101345											100					0	0	0	0	
101439											631					7257	280	0	6525	
101671											1719					12610	1916	0	8397	
101738											704					28	1000	0	0	
101952											309					0	0	0	0	
102155											32					0	0	0	0	
102333											0					3000	0	0	0	
102342											1017					7832	0	0	982	
102539											0					0	0	0	2978	
102557											43					0	0	0	0	
103134											519					553	0	0	0	
103255											2876					22125	1250	0	0	
103536											937					3000	0	0	11976	
103554											181					3000	0	0	0	
103563											0					0	0	0	0	
103602											0					0	0	0	0	
104038											7962					90339	516	0	6031	
104056											436					1750	0	0	0	
104234											391					7000	0	0	0	
104430											893					1000	0	0	0	
104542											0					0	0	0	0	
104663											504					10000	0	0	0	
105026											940					9000	0	0	0	
105044											75					0	41	0	2580	
105053											528					4326	0	0	0	
105071											2539					37800	0	0	0	
105222											880					0	5131	0	0	
105530											665					5056	0	0	0	
105633											210					55	0	0	0	
106359											15691					118819	0	0	0	
106377											4285					77165	3254	0	0	
106452											1224					0	8	0	5535	
106519											602					10400	251	0	0	
106546											1337					19000	0	0	1841	
