"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	PB/PSA FDIC CERTIFICATE NUMBER	
2472508								0	10765		1390	3	139506		122987	535	274648	0	269885	0	12391	23		
2473354								0	5017		0	0	115696		62329	222	183041	0			3104	7		
2479477								4433	0		0	0	0		0	0	0	0			0	0	First Citizens National Bank	
2480790								0	7593		0	0	179716		82661	401	269982	12			12900	18		
2481210								0	1635		0	0	43733		76005	244	121373	0			459	1		
2482824								0	5832		0	0	176982		124442	583	307257	0			15671	24		
2482851								0	801		0	0	3257		638	2	4696	0						
2483120								0	8505		0	0	83267		76981	353	168753	0			3900	9		
2483438								0	1402		0	0	22547		38303	143	62252	0			13633	13		
2485544								0	7628		267	1	99576		74467	410	181938	0			6437	6		
2488956								0	13492		1120	4	119835		99967	494	234413	0			3990	9		
2490285								0	2327		0	0	25655		21401	99	49383	0			1664	4		
2491291								0	2355		320	1	272463		115411	649	390549	0			11271	15		
2493110								0	8323		0	0	146534		89802	413	244659	0			4671	8		
2493697								0	138		0	0	15384		23054	114	38577	0			2007	5		
2496081								0	84		0	0	14763		11383	43	26230	0						
2497181								0	10201		562	2	156195		168929	462	335887	0			18764	35		
2502656							167736	32188	0		0	0	84585		517589	2002	602174	0	571456	0			USAA Federal Savings Bank	
2502825								0	0		0	0	0		504	1	504	0						
2503345							0	4360	0		0	0	0		0	0	0	0					Horizon Bank, N.A.	
2505424								0	5490		0	0	44260		29027	134	78777	0			391	1		
2505451								0	7989		2336	7	75944		109187	495	195456	0			4305	10		
2505460								0	2974		385	1	62007		40730	204	106096	0			7136	10		
2505787								0	35873		3541	8	374157		384610	1269	819273	21092	777015	18189	18307	33		
2506056								0	2724		0	0	37153		14107	71	53984	0						
2506328								0	1434		0	0	34635		95834	231	131903	0						
2506757								0	8721		2566	5	131383		130865	524	273535	0	270014	0	3833	4		
2507802								0	11115		552	2	256546		128263	712	396476	0			4948	13		
2508751								0	26900		2895	7	347592		341866	1643	719253	0			0	0		
2512347								0	11491		535	2	103432		92826	523	208284	0			1419	4		
2514547							285561	0	35428		1814	6	734222		556479	2297	1370085	42142	1318676	28121	17263	45		
2514837								0	1950		0	0	34257		30769	107	66976	0			2342	6		
2515320								0	5667		0	0	45387		46494	219	97549	0			2168	3		
2516327							178865	0	34791		308	1	574568		336906	1279	946573	0	915560	0	42234	82		
2516626								0	15743		3448	8	253856		255780	1115	528827	0			17748	23		
2517182								0	7240		251	1	111135		43335	209	161960	0			2671	6		
2518497								0	13863		1130	4	84799		57265	120	157057	0			3766	7		
2519001								0	2558		256	1	52327		94348	200	149489	0			0	0		
2522681							449508	0	4849		601	1	905703		425672	2566	1336826	0	1328125	0	45854	66		
2524797								0	17395		2430	4	434302		85641	291	539769	0	519712	0	10997	23		
2528656								0	4656		693	2	45540		25267	149	76156	0			936	3		
2529176								0	2994		0	0	57699		54028	288	114721	0	107809	0	8967	10		
2531496								0	5514		271	1	84014		74183	410	163983	0	159347	0	2307	7		
2531562								0	4681		861	3	37815		46187	194	89544	0			0	0		
2531991								33869	0		0	0	0		0	0	0	0					Wachovia Bank, National Association	
2532082								0	8960		309	1	97947		41790	223	149006	0	145281	0	4273	10		
2532662							383000	0	66839		3052	10	725867		550699	2446	1346457	0	1119908	0	29431	56		
2533043								0	598	54	0	0	42617	2427	36160	242	79375	0	63500	0	2023	5		
2533119								0	28975		5046	9	227319		169923	802	431263	0	427296	0	19829	27		
2534086								0	5613		0	0	134511		63491	295	203615	0			5762	12		
2535551								0	4349		1798	4	31030		34282	130	71459	0			394	1		
2535560								0	5660		563	2	80509		79916	280	166737	89			1339	4		
2536633								0	733		0	0	19846		7186	30	27766	0			332	1		
2538842								0	1863		0	0	75828		74437	405	152128	0			2323	7		
2539081								0	9583		1116	3	88339		92383	333	191420	0			4862	11		
2539960								0	8243		0	0	81900		54801	234	144944	0			639	2		
2540537								0	4549		0	0	133685		73673	375	211991	83			3687	10		
2550095								0	3101		262	1	101197		80214	424	184774	0			4063	9		
2552099								0	3807		0	0	68222		44487	161	116516	0			3984	3		
2558970							259427	0	39638		1809	7	374379		763390	2637	1179216	0	1170608	0	149735	107		
2560526								0	3159		0	0	164094		55042	316	222295	0			5063	6		
2562137								0	3918		307	1	40556		26934	124	71715	0			2341	6		
2562164								0	1698		0	0	116923		78271	215	196892	0			2089	6		
2562838								0	7271		292	1	124472		144352	571	276389	0	277145	0	14981	38		
2567123								0	0		0	0	0		0	0	0	0						
2568120								0	9152		872	2	160767		52110	286	222901	0			2694	1		
2571081								0	4349		303	1	66608		49572	183	120832	0			11865	6		
2574327								0	115		0	0	5740		29922	61	35776	0	34776	0	897	2		
2575155								0	5624		0	0	29075		37063	191	71762	0			759	2		
2575717								0	2124		0	0	51321		37719	117	91164	0			4067	4		
2576134								0	0		0	0	26314		2024	6	28338	0			0	0		
2576143								0	16399		534	1	211615		113347	504	341895	0			7284	9		
2576198								0	1143		875	3	72077		30534	189	104629	0						
2577243								0	8502		263	1	128388		61058	279	198211	0			8415	20		
2577739								0	2721		254	1	46436		53754	197	103165	0			2171	4		
2579069								0	2529		0	0	71545		83067	453	157141	0			2595	7		
2580243								0	27408		565	2	206758		106273	515	341004	0			5532	11		
2580645								0	1436		0	0	46915		44151	204	92502	0			6746	17		
2582023							12161	0	0		0	0	30667		21061	89	51728	0	50943	0	0	0		
2582032								0	3790		0	0	45984		30731	135	80505	0			7261	12		
2583721								0	5534		1313	4	77078		53827	230	137752	0			7538	11		
2586281								0	3416		1400	2	64952		53900	201	123668	0			8940	15		
