"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
344236	20090331	GULF STATE COMMUNITY BANK	20340	CARRABELLE	FL	323221233	
344647	20090331	First Bankers Trust Company, N.A.	16501	Quincy	IL	62301	
344816	20090331	Citizens Deposit Bank & Trust	12165	Vanceburg	KY	41179	
344852	20090331	Farmers State Bank	1413	Darwin	MN	55324	
345149	20090331	STATE BANK OF PRAIRIE DU ROCHER	12117	PRAIRIE DU ROCHER	IL	62277	
345309	20090331	The Chelsea Groton Savings Bank	18238	Norwich	CT	6360	
345345	20090331	American Bank National Association	5800	Le Mars	IA	510310310	
345747	20090331	State Bank of Lizton	1833	Lizton	IN	46149	
345756	20090331	First State Bank of St. Charles	12219	St. Charles	MO	63301	
346566	20090331	FIRST NATIONAL BANK OF SOUT PADRE ISLAND	24902	SOUTH PADRE ISLAND	TX	78597	
347022	20090331	FIRST NATIONAL BANK OF SOUTH CAROLINA	2107	HOLLY HILL	SC	29059	
347639	20090331	Devon Bank	16249	Chicago	IL	606455494	
347657	20090331	Bank of Bertrand	15267	Bertrand	NE	689270007	
347956	20090331	Valley National Bank	23737	Tulsa	OK	74137	
348159	20090331	BANK OF BENNINGTON	8595	BENNINGTON	NE	68007	
