"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1350	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2800	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1350	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2800	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	
300063																																							196	2894	0	28340	500	29022	0	862	0	0	2656	195961	172564	0	0	1367	178931	0	2080	0	5000	0	17030	3006	195961	0	0	10059	0	3866	0	18134	154430	1	0	133571	131491	99	
300157																																							0	1258	0	3760	15468	2005	0	116	0	0	969	47066	37781	0	0	302	38103	0	380	0	20	0	8963	100	47066	0	0	8441	0	400	0	4023	33758	1	0	23870	23490	22	
300250																																							0	1113	0	2488	433	4577	0	1572	100	0	726	39340	33814	0	0	254	36068	0	340	0	2000	0	3272	257	39340	0	0	2377	0	607	0	3383	30431	1	0	28671	28331	31	
300353																																							0	1535	0	3500	0	12731	0	698	0	0	945	42400	37933	0	0	163	38096	0	229	0	0	0	4304	800	42400	0	0	2617	0	800	0	7403	30530	4	0	23220	22991	87	
300371																																							4570	1654	120	0	1342	9178	0	2844	0	0	4942	150669	123804	0	0	1065	140369	0	1032	0	15500	0	10300	86	150669	0	0	3564	0	6618	0	10007	113797	2	0	127051	126019	32	
300456																																							0	812	0	675	3087	5437	0	184	0	0	308	19037	16835	0	0	226	17061	0	169	0	0	0	1976	128	19037	0	0	1542	0	252	0	3092	13743	4	0	8703	8534	54	
300531																																							67	9005	0	3191	0	27065	0	4760	0	0	3736	273608	229573	766	0	2417	252819	0	2697	0	20063	0	20789	1000	273608	0	0	6875	0	12669	0	26692	202881	2	0	228481	225784	245	
300559																																							181	2686	0	2390	0	6280	0	2527	153	0	1105	62501	49664	0	0	700	57679	0	507	0	7315	0	4822	72	62501	0	0	1002	0	3678	0	7069	42595	5	0	47686	47179	70	
300933																																							939	5912	413	12089	22674	35849	0	5248	925	0	8447	254978	222483	500	0	3608	228606	0	3084	0	2015	0	26372	2000	254978	0	0	18634	0	5507	165	33466	189017	1	0	165401	162317	231	
300942																																							0	2197	0	100	0	23436	0	705	0	0	2634	74638	62436	4420	0	1016	68452	0	386	0	580	0	6186	190	74638	0	0	4024	0	1560	0	9620	52816	3	0	45952	45566	412	
300960																																							85	8681	0	1700	7123	20431	0	1953	222	0	3081	134557	113910	7415	0	791	123103	0	1677	0	987	0	11454	1402	134557	0	0	906	0	9014	4571	26489	87421	1	0	88387	86710	132	
301453																																							189	1062	0	2870	213	11273	0	1806	0	0	1821	40359	33666	0	0	405	34071	0	339	0	0	0	6288	100	40359	0	0	1224	0	4900	0	2916	30750	4	0	21464	21125	64	
301640																																							153	652	0	2453	0	18482	0	280	84	0	1487	43647	27803	0	0	392	39195	0	182	0	11000	0	4452	200	43647	0	0	3107	0	1050	0	2492	25311	2	0	20238	20056	95	
301668																																							1782	20066	0	94400	38	107303	0	9906	0	1237	11979	594036	539898	0	1237	3114	546226	0	4287	2295	1977	0	47810	20000	594036	0	0	7472	0	19274	0	28494	511404	1	0	349317	345030	1064	
301800																																							387	6712	3643	2800	187	29331	0	7855	1156	0	12277	460574	309197	0	0	5476	402097	0	2702	2275	87424	0	58477	0	460574	0	0	50265	0	8071	13391	16123	293074	1	10	383262	380560	131	
302030																																							44	4825	0	5219	10211	0	0	632	0	0	1185	41351	35171	0	0	598	35769	0	188	0	0	0	5582	300	41351	0	0	2282	0	3000	0	15031	20140	1	0	19423	19235	0	
302133																																							0	193	0	400	0	9027	0	38	10	0	1543	16953	13049	0	0	259	13308	0	72	0	0	0	3645	100	16953	0	0	1358	0	1900	0	919	12130	9	100	5814	5742	187	
302450																																							0	2065	0	335	313	13609	0	1125	0	0	484	45421	39554	0	0	341	39895	0	292	1839	0	0	5526	750	45421	0	0	1280	0	3437	0	4621	34933	4	0	25943	25651	59	
302553																																							197	1192	0	5350	0	10917	0	317	0	0	1027	45829	38955	0	0	352	39307	0	561	0	0	0	6522	600	45829	0	0	4553	0	1200	0	5166	33789	4	0	27390	26829	169	
302656																																							12	6418	0	0	0	28979	131	2644	147	0	4005	212235	185510	365	0	3148	194698	0	2609	944	5675	0	17537	500	212235	0	0	5802	0	11050	0	23218	162292	1	0	171564	168955	185	
302665																																							500	1917	0	1315	4724	15107	0	429	90	0	845	60068	54760	0	0	378	55138	0	313	0	0	0	4930	625	60068	0	0	1693	0	2439	0	8679	46081	1	0	35454	35141	173	
302852																																							300	603	0	1667	7522	0	0	392	0	0	179	15106	13242	0	0	36	13278	0	40	0	0	0	1828	100	15106	0	0	728	0	1000	0	2291	10951	4	0	4483	4443	0	
303345																																							0	19235	0	41583	0	1128	0	2847	58	0	5321	310634	253261	18427	0	2240	274303	0	2717	0	375	0	36331	3000	310634	0	0	25158	0	8238	0	36857	216404	2	0	243179	240462	-65	
303550																																							3936	1836	0	0	0	6071	0	865	0	0	1071	38415	33558	0	0	226	33786	0	403	1932	2	0	4629	200	38415	0	0	107	0	4182	0	8175	25383	2	0	23107	22704	140	
303653																																							0	4307	0	5025	15192	32303	0	1358	0	0	1340	109582	93638	0	0	870	94508	0	580	0	0	0	15074	800	109582	0	0	6468	0	7200	0	17255	76383	1	0	50637	50057	606	
303701																																							1000	2873	0	0	100	19220	0	3551	140	0	2966	97871	82500	0	0	1278	87778	0	906	0	4000	0	10093	0	97871	0	0	8436	0	1284	0	9344	73156	1	0	68927	68021	373	
303747																																							0	2428	0	1775	3866	14056	0	446	0	0	385	47804	42402	0	0	377	42779	0	421	0	0	0	5025	319	47804	0	0	2154	0	2431	0	7054	35348	5	0	25269	24848	121	
303952																																							40	5398	0	10302	9263	64750	0	2363	223	0	5975	241347	205924	2000	0	1971	215895	0	2363	3950	6000	0	25452	600	241347	0	0	14929	0	9326	0	21571	184353	1	0	141446	139083	597	
304034																																							100	11374	0	11930	11779	31548	0	8795	116	0	6438	311485	270299	0	0	1900	283199	0	2372	0	11000	0	28286	730	311485	0	0	18936	0	8516	0	197692	72607	1	0	231777	229405	104	
