"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4635	RIAD4815	RIADB522	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	LOSSES CHARGED TO RESERVE	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	
66846	1412	75	2	11	0	1346	
66855	923577	309695	36001	295806	-105727	979414	
66903	2689	303	31	75	0	2430	
67142	368	0	1	0	0	367	
67151	1170	15	1	0	0	1154	
67209	1572	0	93	2	0	1481	
67254	30	0	0	2	0	32	
67311	110144	11816	4903	14860	0	108285	
67414	393	12	28	3	0	356	
67777	1684	75	0	23	0	1632	
67852	6290	5107	201	6154	0	7136	
68345	1497	20	3	5	0	1479	
68372	1115	30	2	12	0	1095	
68448	511	30	0	0	0	481	
68569	35969	887	982	1869	-1149	37118	
68756	491	0	5	41	0	527	
68831	835	35	26	151	0	925	
68840	625	30	1	2	0	596	
68859	2321	100	9	20	0	2232	
68943	1040	0	2	48	0	1086	
69333	2633	51	1	9	0	2590	
69351	160	0	0	0	0	160	
69650	129	0	0	0	0	129	
69678	2098	495	29	1163	0	2737	
69847	158	0	2	2	0	158	
70049	2170	210	2	0	0	1958	
70058	365	0	4	12	0	373	
70076	114	0	0	0	0	114	
70151	485	17	9	22	0	481	
70218	985	6	4	10	0	985	
70254	132	0	1	0	0	131	
70414	1002	37	3	18	0	980	
70638	2380	50	111	270	0	2489	
70955	119	0	13	0	0	106	
71318	4982	0	84	19	0	4917	
71457	973	15	1	0	0	957	
71671	870	30	0	0	0	840	
71859	78	0	0	0	0	78	
72258	592	15	2	0	0	575	
72276	2610	60	13	57	0	2594	
72351	730	38	108	68	0	652	
72418	1167	25	10	50	0	1182	
72454	352	9	2	4	0	345	
72614	3511	0	14	38	0	3535	
72678	474	57	58	177	0	536	
73031	546	0	13	80	0	613	
73116	2432	400	34	303	0	2301	
73152	464	0	16	47	0	495	
73554	1275	180	14	0	0	1081	
73956	506	0	36	61	0	531	
74056	173	6	1	0	0	166	
74140	3669	94	54	47	0	3568	
74159	140	5	0	0	0	135	
74337	172	3	0	0	0	169	
74403	1335	20	0	0	0	1315	
74449	66	0	0	1	0	67	
74458	138	10	0	0	0	128	
75053	1571	105	7	6	0	1465	
75259	11	0	1	0	0	10	
75446	1495	45	6	18	0	1462	
75455	403	170	55	160	0	338	
75558	312	60	14	1	0	239	
75576	14182	900	35	1260	0	14507	
75633	115761	14458	684	18332	0	118951	
75651	367	8	1	23	0	381	
75857	1636	43	9	105	0	1689	
76050	455	59	7	9	0	398	
76117	7217	300	237	139	0	6819	
76135	2900	0	24	64	0	2940	
76153	390	0	5	0	0	385	
76201	2728000	314000	60000	330000	331000	2353000	
76443	618	30	5	24	0	607	
76742	1112	30	27	86	0	1141	
76854	1168	194	12	81	0	1043	
77150	498	-248	42	26	0	730	
77253	301	25	1	26	0	301	
77347	663	5	15	1	0	644	
77374	1758	94	1	64	0	1727	
77422	487	0	0	0	0	487	
77758	6045	2190	7	1763	0	5611	
77851	6406	1542	346	1607	0	6125	
78036	670	20	2	1	0	649	
78054	777	44	1	13	0	745	
78157	244	9	2	4	0	237	
78241	271	21	13	58	0	295	
78559	145	6	2	0	0	137	
78643	625	9	1	1	0	616	
78858	86	0	0	0	0	86	
78951	410	75	27	112	0	420	
79042	85	0	8	0	0	77	
79127	2706	45	65	0	0	2596	
79145	815	0	0	5	0	820	
79257	198	0	0	0	0	198	
79855	917	60	2	1	0	856	
80020	8	1	1	0	0	6	
80150	2245	0	13	18	0	2250	
80431	913	16	27	149	0	1019	
80552	222	2	0	0	0	220	
80936	745	180	1	23	0	587	
81054	840	30	4	5	0	811	
81223	1676	45	8	24	0	1647	
81429	268	16	0	2	0	254	
82024	1666	-657	893	220	0	1650	
82033	425	45	0	17	0	397	
82257	198	15	0	18	0	201	
82350	260	49	4	30	0	237	
82659	300	12	1	0	0	287	
82873	681	30	0	0	0	651	
83151	386	6	3	8	0	385	
83236	65	1	0	0	0	64	
83311	26094	750	358	624	0	25610	
83357	331	3	6	21	0	343	
83450	6519	950	362	530	0	5737	
83638	20837	4580	69	685	0	16873	
83834	588	10	0	2	0	580	
83852	118	0	0	13	0	131	
83955	525	10	11	36	0	540	
84046	389	0	1	3	0	391	
84055	116	10	1	14	0	119	
84251	123	0	0	0	0	123	
84345	602	35	0	35	0	602	
84541	3515	204	175	165	0	3301	
84804	66	20	0	3	0	49	
84970	2594	-131	49	38	0	2714	
85043	284	36	4	43	0	287	
85052	27	0	0	0	0	27	
85258	183	0	0	0	0	183	
85454	334	0	7	15	0	342	
85856	64	0	0	0	0	64	
85931	901	75	9	67	0	884	
86349	953	150	22	117	0	898	
86358	300	0	0	0	0	300	
86527	3229	249	37	258	0	3201	
86554	386	26	9	28	0	379	
87047	512	9	0	2	0	505	
87159	385	0	50	0	0	335	
87234	1762	45	27	21	0	1711	
87476	246	22	0	19	0	243	
87533	1524	20	4	2	0	1502	
87944	3439	838	6	323	0	2918	
88240	243	0	0	0	0	243	
88259	371	0	3	0	0	368	
88352	196	23	1	6	0	178	
88455	1337	0	52	52	0	1337	
88530	709	86	13	56	0	666	
88802	39277	3533	716	3929	0	38957	
88950	138	2	0	0	0	136	
89032	434	16	8	35	0	445	
89135	415	-1	3	2	0	415	
89162	0	0	0	0	0	0	
