RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,149,201,0,0,0,0,0,104,0,0,0,0,,,,0,0,0,23643,2017-06-30
121,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,335,,,,,,,0,0,0,0,,,,,,,23755,2017-06-30
270,,288,131,,,,,0,0,0,,,,,,270,0,0,0,false,120,0,0,,293,,186,553,163,,409,115,121,276,0,0,0,0,,,,,162,102,24006,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,24378,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,312,0,100,0,0,0,0,0,0,0,0,,,,0,0,0,24453,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,24659,2017-06-30
326,10,107,5,,,,,143,135,,,,,,,0,0,0,0,false,57,0,0,26,,20,30,200,38,512,47,189,260,187,0,0,0,0,,,,30,21,,24668,2017-06-30
0,103,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,159,0,0,0,0,212,0,0,0,0,0,0,0,0,,,,0,0,0,24949,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,612,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,25357,2017-06-30
,,,300,,,,,,,,,,,,,500,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,25647,2017-06-30
,,117,122,,1183,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,265,,,130,,,,0,0,0,0,,,,,,,26176,2017-06-30
,,,,,,,,,,,,,,,,0,0,-5,0,false,,0,0,,183,,,,,488,,102,,,0,0,0,0,,,,,,,26242,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,26457,2017-06-30
131,0,0,0,,0,0,0,110,0,0,,,,,,8,0,0,0,false,0,0,0,0,0,0,0,482,0,119,197,113,0,0,0,0,0,0,,,,0,0,0,26765,2017-06-30
