RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,68840,2012-06-30
,,,,,,,,,,,,,,,,,,,,68859,2012-06-30
,,,,,,,,,,,,,,,,,,,,68943,2012-06-30
,,,,,,,,,,,,,,,,,,,,69333,2012-06-30
,,,,,,,,,,,,,,,,,,,,69678,2012-06-30
,,,,,,,,,,,,,,,,,,,,69847,2012-06-30
,,,,,,,,,,,,,,,,,,,,70049,2012-06-30
,,,,,,,,,,,,,,,,,,,,70058,2012-06-30
,,,,,,,,,,,,,,,,,,,,70218,2012-06-30
,,,,,,,,,,,,,,,,,,,,70414,2012-06-30
,,,,,,,,,,,,,,,,,,,,70638,2012-06-30
,,,,,,,,,,,,,,,,,,,,70955,2012-06-30
,,,,,,,,,,,,,,,,,,,,71073,2012-06-30
,,,,,,,,,,,,,,,,,,,,71318,2012-06-30
,,,,,,,,,,,,,,,,,,,,71457,2012-06-30
,,,,,,,,,,,,,,,,,,,,71859,2012-06-30
,,,,,,,,,,,,,,,,,,,,72258,2012-06-30
,,,,,,,,,,,,,,,,,,,,72351,2012-06-30
,,,,,,,,,,,,,,,,,,,,72454,2012-06-30
,,,,,,,,,,,,,,,,,,,,72678,2012-06-30
,,,,,,,,,,,,,,,,,,,,73116,2012-06-30
,,,,,,,,,,,,,,,,,,,,73152,2012-06-30
,,,,,,,,,,,,,,,,,,,,73554,2012-06-30
,,,,,,,,,,,,,,,,,,,,73956,2012-06-30
,,,,,,,,,,,,,,,,,,,,74056,2012-06-30
,,,,,,,,,,,,,,,,,,,,74140,2012-06-30
,,,,,,,,,,,,,,,,,,,,74159,2012-06-30
,,,,,,,,,,,,,,,,,,,,74403,2012-06-30
,,,,,,,,,,,,,,,,,,,,74449,2012-06-30
,,,,,,,,,,,,,,,,,,,,74458,2012-06-30
,,,,,,,,,,,,,,,,,,,,75053,2012-06-30
,,,,,,,,,,,,,,,,,,,,75259,2012-06-30
,,,,,,,,,,,,,,,,,,,,75446,2012-06-30
,,,,,,,,,,,,,,,,,,,,75455,2012-06-30
,,,,,,,,,,,,,,,,,,,,75558,2012-06-30
,,,,,,,,,,,,,,,,,,,,75633,2012-06-30
,,,,,,,,,,,,,,,,,,,,75651,2012-06-30
,,,,,,,,,,,,,,,,,,,,76135,2012-06-30
,,,,,,,,,,,,,,,,,,,,76153,2012-06-30
,,,,,,,,,,,,,,,,,,,,76443,2012-06-30
,,,,,,,,,,,,,,,,,,,,76854,2012-06-30
