RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,764035,708272,74515,0,761538,784413,,,,,,,,,,,,,,,,,,,,,,,30810,2001-09-30
,,896,35,15,0,867,21,,,,,,,,,,,,,,,,,,,,,,,30856,2001-09-30
,,484,296,72,0,378,262,,,,,,,,,,,,,,,,,,,,,,,31134,2001-09-30
,,625,84,3,0,548,10,,,,,,,,,,,,,,,,,,,,,,,31152,2001-09-30
,,1408,225,133,0,1028,58,,,,,,,,,,,,,,,,,,,,,,,31255,2001-09-30
,,8690,900,1123,0,8517,1850,,,,,,,,,,,,,,,,,,,,,,,31303,2001-09-30
,,267,0,92,0,247,72,,,,,,,,,,,,,,,,,,,,,,,31657,2001-09-30
,,1181,75,197,0,1175,266,,,,,,,,,,,,,,,,,,,,,,,31826,2001-09-30
,,2655,0,120,0,2781,246,,,,,,,,,,,,,,,,,,,,,,,31835,2001-09-30
,,665,1515,42,0,644,1536,,,,,,,,,,,,,,,,,,,,,,,32159,2001-09-30
,,252,0,2,0,270,20,,,,,,,,,,,,,,,,,,,,,,,32234,2001-09-30
,,174,50,173,0,153,202,,,,,,,,,,,,,,,,,,,,,,,32766,2001-09-30
,,1712,184,0,0,1624,96,,,,,,,,,,,,,,,,,,,,,,,33147,2001-09-30
,,2060,259,7,0,1829,35,,,,,,,,,,,,,,,,,,,,,,,33259,2001-09-30
,,385,150,28,0,338,131,,,,,,,,,,,,,,,,,,,,,,,33268,2001-09-30
,,243,0,0,0,243,0,,,,,,,,,,,,,,,,,,,,,,,33549,2001-09-30
,,1769,-220,911,0,1988,910,,,,,,,,,,,,,,,,,,,,,,,33727,2001-09-30
,,60,0,0,0,60,0,,,,,,,,,,,,,,,,,,,,,,,33754,2001-09-30
,,8423,1065,93,0,4825,157,,,,,,,,,,,,,,,,,,,,,,,33772,2001-09-30
,,186,0,1,0,198,13,,,,,,,,,,,,,,,,,,,,,,,33839,2001-09-30
,,1060,6697,137,0,785,6559,,,,,,,,,,,,,,,,,,,,,,,33857,2001-09-30
,,571,45,43,0,512,29,,,,,,,,,,,,,,,,,,,,,,,34032,2001-09-30
,,1177,230,49,0,929,31,,,,,,,,,,,,,,,,,,,,,,,34153,2001-09-30
,,326,61,28,0,337,100,,,,,,,,,,,,,,,,,,,,,,,34359,2001-09-30
,,1573,250,15,0,1370,62,,,,,,,,,,,,,,,,,,,,,,,34425,2001-09-30
,,890,97,28,0,813,48,,,,,,,,,,,,,,,,,,,,,,,34434,2001-09-30
,,396,-39,74,0,369,8,,,,,,,,,,,,,,,,,,,,,,,34452,2001-09-30
,,7049,0,210,0,7218,379,,,,,,,,,,,,,,,,,,,,,,,34537,2001-09-30
,,793,45,27,0,803,82,,,,,,,,,,,,,,,,,,,,,,,34555,2001-09-30
,,1158,170,16,0,1032,60,,,,,,,,,,,,,,,,,,,,,,,34742,2001-09-30
,,111,31,2,0,95,17,,,,,,,,,,,,,,,,,,,,,,,34836,2001-09-30
,,190,26,11,0,182,29,,,,,,,,,,,,,,,,,,,,,,,34863,2001-09-30
,,506,118,62,0,376,50,,,,,,,,,,,,,,,,,,,,,,,35057,2001-09-30
,,3513,1110,45,0,3165,807,,,,,,,,,,,,,,,,,,,,,,,35244,2001-09-30
,,55243,7000,5,,57068,8444,,,,,,,,,,,,,,,,,,,,,,,35301,2001-09-30
,,3540,250,25,0,3309,44,,,,,,,,,,,,,,,,,,,,,,,35570,2001-09-30
,,222,0,0,0,222,0,,,,,,,,,,,,,,,,,,,,,,,35646,2001-09-30
,,381,10,1,0,389,19,,,,,,,,,,,,,,,,,,,,,,,35842,2001-09-30
,,210,45,11,0,156,26,,,,,,,,,,,,,,,,,,,,,,,35851,2001-09-30
,,29,0,0,0,31,2,,,,,,,,,,,,,,,,,,,,,,,35936,2001-09-30
,,5419,2053,162,0,5072,1868,,,,,,,,,,,,,,,,,,,,,,,36054,2001-09-30
,,2148,45,67,0,2189,179,,,,,,,,,,,,,,,,,,,,,,,36344,2001-09-30
,,453,20,11,0,472,50,,,,,,,,,,,,,,,,,,,,,,,36456,2001-09-30
,,390,32,53,0,317,12,,,,,,,,,,,,,,,,,,,,,,,36830,2001-09-30
,,1745,246,3,0,1740,244,,,,,,,,,,,,,,,,,,,,,,,36858,2001-09-30
,,669,123,94,0,560,108,,,,,,,,,,,,,,,,,,,,,,,36933,2001-09-30
