"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4815	RIADB522	RIADC079	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	
986739	335	0	0	0	335	0	
986757	326	0	3	0	326	3	
986850	1369	150	96	0	1144	21	
986935	486	60	11	0	448	33	
987053	1028	30	1	0	1004	7	
987231	336	35	12	0	335	46	
987259	335	45	1	0	349	60	
987352	1672	260	12	0	1440	40	
987651	334	30	4	0	427	127	
987848	438	0	6	0	435	3	
988144	803	0	4	0	816	17	
988153	3044	288	25	0	2920	189	
988229	1207	90	8	0	1150	41	
988256	243	3	0	0	240	0	
988452	682	33	29	0	729	109	
988470	1239	45	3	0	1221	30	
988658	462	24	2	0	436	0	
988845	2087	60	21	0	2037	31	
988957	269	20	1	0	248	0	
989141	727	0	15	0	714	2	
989253	74538	-27	878	-346	76527	2494	
989347	1701	160	22	0	2247	728	
989356	218	0	10	0	212	4	
989534	258	24	2	0	250	18	
989655	562	0	19	0	561	18	
989730	451	135	37	0	381	102	
989758	638	50	14	0	622	48	
989851	299	18	0	0	281	0	
990053	717	30	1	0	706	20	
990156	325	0	28	0	311	14	
990325	5486	800	190	0	7049	2553	
990352	256	0	5	0	256	5	
990642	731	60	23	0	709	61	
991041	1762	180	108	0	1795	321	
991135	579	-100	16	0	663	0	
991340	50901	11759	597	-1433	44644	4666	
991359	583	180	53	0	439	89	
991555	811	108	42	0	895	234	
991621	2335	300	67	0	2107	139	
991715	2301	330	42	0	2411	482	
991854	144	0	0	0	144	0	
992057	63	36	0	0	27	0	
992253	183	12	4	0	177	10	
992758	408	0	7	0	405	4	
992851	368	52	24	0	294	2	
993250	770	36	7	0	732	5	
993335	484	0	0	0	485	1	
993353	104	0	5	0	108	9	
993652	283	0	0	0	283	0	
994435	1948	240	35	0	1939	266	
994565	1398	288	11	0	1114	15	
994716	981	180	16	0	860	75	
995076	1145	220	59	0	1032	166	
995151	277506	49699	9605	25705	259516	67019	
995450	7132	0	222	0	7019	109	
995517	1245	265	46	0	1202	268	
995674	206	50	0	0	156	0	
995955	107	24	4	0	83	4	
996251	132	0	2	0	130	0	
996260	15299	2600	143	0	16553	3997	
996354	8725	640	92	0	8150	157	
996457	302	35	1	0	269	3	
996466	1193	1225	5	0	1583	1620	
996840	99	0	0	0	99	0	
