RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,104430,2003-12-31
,,,,104542,2003-12-31
,,,,104663,2003-12-31
,,,,105026,2003-12-31
,,,,105044,2003-12-31
,,,,105053,2003-12-31
,,,,105071,2003-12-31
,,,,105222,2003-12-31
,,,,105530,2003-12-31
,,,,105633,2003-12-31
,,,,106359,2003-12-31
,,,,106377,2003-12-31
,,,,106452,2003-12-31
,,,,106519,2003-12-31
,,,,106546,2003-12-31
,,,,106555,2003-12-31
,,,,106658,2003-12-31
,,,,107057,2003-12-31
,,,,107150,2003-12-31
,,,,107226,2003-12-31
,,,,107244,2003-12-31
,,,,107431,2003-12-31
,,,,107459,2003-12-31
,,,,107758,2003-12-31
,,,,108157,2003-12-31
,,,,108250,2003-12-31
,,,,108269,2003-12-31
,,,,108652,2003-12-31
,,,,108746,2003-12-31
,,,,108951,2003-12-31
,,,,109136,2003-12-31
,,,,109154,2003-12-31
,,,,109453,2003-12-31
,,,,109574,2003-12-31
,,,,109659,2003-12-31
,,,,109855,2003-12-31
,,,,110057,2003-12-31
,,,,110066,2003-12-31
,,,,110356,2003-12-31
,,,,110404,2003-12-31
,,,,110413,2003-12-31
,,,,110655,2003-12-31
,,,,110758,2003-12-31
,,,,110936,2003-12-31
,,,,110945,2003-12-31
,,,,111157,2003-12-31
,,,,111205,2003-12-31
,,,,111559,2003-12-31
,,,,111661,2003-12-31
,,,,111942,2003-12-31
,,,,111951,2003-12-31
,,,,111979,2003-12-31
,,,,112163,2003-12-31
,,,,112332,2003-12-31
,,,,112444,2003-12-31
,,,,112510,2003-12-31
,,,,112556,2003-12-31
1,100,0.0400,0.0400,112837,2003-12-31
,,,,112855,2003-12-31
,,,,113003,2003-12-31
,,,,113030,2003-12-31
,,,,113151,2003-12-31
,,,,113441,2003-12-31
,,,,113601,2003-12-31
,,,,113740,2003-12-31
,,,,113759,2003-12-31
,,,,113937,2003-12-31
,,,,114149,2003-12-31
,,,,114158,2003-12-31
,,,,114251,2003-12-31
,,,,114260,2003-12-31
,,,,114457,2003-12-31
,,,,114756,2003-12-31
,,,,114774,2003-12-31
,,,,114840,2003-12-31
,,,,114859,2003-12-31
,,,,115100,2003-12-31
,,,,115146,2003-12-31
,,,,115155,2003-12-31
,,,,115221,2003-12-31
,,,,115342,2003-12-31
,,,,115575,2003-12-31
,,,,115641,2003-12-31
,,,,116077,2003-12-31
,,,,116358,2003-12-31
,,,,116554,2003-12-31
,,,,116639,2003-12-31
,,,,116732,2003-12-31
,,,,116741,2003-12-31
,,,,117038,2003-12-31
,,,,117458,2003-12-31
,,,,117672,2003-12-31
,,,,117841,2003-12-31
,,,,118156,2003-12-31
,,,,118174,2003-12-31
,,,,118352,2003-12-31
,,,,118660,2003-12-31
,,,,118736,2003-12-31
,,,,119153,2003-12-31
,,,,119274,2003-12-31
,,,,119331,2003-12-31
,,,,119528,2003-12-31
,,,,119779,2003-12-31
,,,,120542,2003-12-31
,,,,120609,2003-12-31
,,,,120953,2003-12-31
,,,,121576,2003-12-31
,,,,121642,2003-12-31
,,,,121651,2003-12-31
0,0,0.0000,0.0000,121709,2003-12-31
,,,,121857,2003-12-31
,,,,121914,2003-12-31
,,,,122153,2003-12-31
,,,,122546,2003-12-31
,,,,122658,2003-12-31
,,,,122751,2003-12-31
,,,,122854,2003-12-31
,,,,123178,2003-12-31
,,,,123440,2003-12-31
,,,,123646,2003-12-31
,,,,124344,2003-12-31
,,,,124353,2003-12-31
,,,,124513,2003-12-31
