RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
5117,7,3194,9562,0,19230,0,0,0,0,47416,0,10726,,16777,9903,2286,16029,36690,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14865,2003-03-31
2280,96,14,12748,0,16043,0,0,0,0,11252,0,235,,3342,4049,602,15933,11017,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14931,2003-03-31
24083,4,60,8347,0,9736,0,0,0,0,116222,1978,4213,,27204,45405,9743,9672,110031,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14940,2003-03-31
160168,25,602,91712,0,115719,0,0,88647,0,825659,0,14283,,361927,148860,71501,114973,769710,119,41666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15536,2003-03-31
1933,0,250,27517,0,43554,0,0,31714,0,231620,0,5240,,88543,58121,13497,43304,223110,0,3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15732,2003-03-31
24567,124,7508,40016,0,66885,0,0,0,0,132127,0,5679,,58443,7548,15091,59154,125748,99,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16337,2003-03-31
2909,7,204,5904,0,11854,0,0,0,0,23607,0,293,,7308,9760,1242,11643,23314,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16355,2003-03-31
47297,16,670,13215,0,19915,0,0,0,0,127277,0,3854,,30366,35989,8044,19208,123399,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16458,2003-03-31
12021,6,926,6706,0,12316,0,0,5858,0,50407,0,3542,,21875,3284,4099,11384,46865,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16551,2003-03-31
5604,0,669,7556,0,11290,0,0,0,0,30857,0,100,,19598,2464,3264,10621,30757,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16748,2003-03-31
8451,9,0,14408,0,18836,0,0,51460,0,347959,0,15021,,15896,220626,5599,18827,332938,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16766,2003-03-31
6614,2,1717,3993,0,10529,0,0,0,0,15948,0,561,,6381,2415,872,8810,15387,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16944,2003-03-31
3541,0,703,4308,0,8014,0,0,0,0,18059,0,1823,,9767,2911,595,7311,16236,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16953,2003-03-31
0,0,0,0,0,0,0,0,0,0,98986,0,12690,,14965,52,0,0,86081,0,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17110,2003-03-31
153702,60,8388,50784,0,75133,0,0,14904,0,510625,0,41861,,147793,144141,31927,51000,468764,15685,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17147,2003-03-31
15981,3,63,5075,0,8415,0,0,0,0,37761,0,679,,16595,886,3871,8349,37082,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17259,2003-03-31
25303,192,4996,107016,0,126713,0,0,0,0,389455,0,35752,,29891,316876,8192,121525,353703,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17464,2003-03-31
46320,7,3583,29535,0,42191,0,0,22170,0,156426,0,12442,,39441,24767,3860,38601,130153,0,13831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17549,2003-03-31
