"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	
1479470	1099	36	0	0	1150	87	0	
1479630	0	0	0	0	0	0	0	
1479667	0	0	0	0	0	0	0	
1479676	411	10	2	0	400	1	0	
1480207	0	0	0	0	0	0	0	
1481745	871	225	4	0	693	51	0	
1481754	858	41	0	0	825	8	0	
1484595	3027	75	80	0	2961	89	0	
1486704	1657	90	6	0	1561	0	0	
1492152	556	23	0	0	542	9	0	
1492817	306	6	0	0	300	0	0	
1494240	106005	13176	1209	0	101826	10206	0	
1494482	285	0	15	0	270	0	0	
1494914	969	0	5	0	1029	65	0	
1495331	1210	60	0	0	1150	0	0	
1496150	0	0	0	0	0	0	0	
1496178	1223	51	4	0	1208	40	0	
1516348	307	3	0	0	304	0	0	
1516423	5535	323	9	0	5644	441	0	
1629903	0	0	0	0	0	0	0	
1717622	0	0	0	0	0	0	0	
1718188	7537	360	98	0	7200	121	0	
1718517	711	25	0	0	698	12	0	
1819049	172	9	0	0	167	4	0	
1819058	320	60	0	0	260	0	0	
1819366	703	15	1	0	691	4	0	
1820979	0	0	0	0	0	0	0	
1821976	2495	103	0	0	2397	5	0	
1824285	2324	150	1	0	2224	51	0	
1824324	493	26	15	0	471	19	0	
1826382	1106	279	94	0	1046	313	0	
1830035	883936	342318	17935	0	816364	292964	283	
1836701	934	50	0	0	1053	169	0	
1837829	2438	240	32	0	2327	161	0	
1841536	791	35	0	0	756	0	0	
1841590	3105	0	0	0	3239	0	-134	
1842065	7885	353	38	0	7497	3	0	
1842195	4692	43	80	0	4084	0	485	
1852381	2204	155	22	0	2027	0	0	
1852569	938	120	11	0	864	57	0	
1853856	1110	0	0	0	1110	0	0	
1856398	0	0	0	0	0	0	0	
1857087	2730	150	0	0	2580	0	0	
1857377	345	0	2	0	344	1	0	
1861347	31	0	0	0	31	0	0	
1861927	4407	600	39	0	3946	178	0	
1862719	4881	345	12	0	4595	71	0	
1863097	2196	100	9	0	2124	37	0	
1863275	901	90	1	0	816	6	0	
1864197	1458	90	0	0	1368	0	0	
1864227	591	36	0	0	568	13	0	
1864375	936	55	21	0	967	107	0	
1864601	1477	90	0	0	1387	0	0	
1864610	942	35	0	0	907	0	0	
1864629	3450	0	5	0	3445	0	0	
1864683	2591	135	0	0	2500	44	0	
1865091	0	0	0	0	0	0	0	
1865680	3625	457	22	0	3214	68	0	
1865961	0	0	0	0	0	0	0	
1866726	3176	120	2	0	3054	0	0	
1866762	3441	110	37	0	3295	1	0	
1867983	2018	50	0	0	1980	12	0	
1871122	439	75	0	0	389	25	0	
1872941	689	18	2	0	679	10	0	
1872996	1744	62	1	0	1681	0	0	
1874936	0	0	0	0	0	0	0	
1877665	302	30	9	0	290	27	0	
1879016	546	80	14	0	503	51	0	
1879043	365	25	0	0	346	6	0	
1882070	1464	175	8	0	1798	517	0	
1884140	1976	94	2	0	1886	6	0	
1885848	0	0	0	0	0	0	0	
1885932	8615	1800	57	0	8305	1547	0	
1887486	451	36	1	0	418	4	0	
1887495	1068	526	13	0	919	390	0	
1887516	2392	330	29	0	2653	620	0	
1890374	2165	90	27	0	2099	51	0	
1890413	3644	1284	70	0	2744	454	0	
1890525	3180	600	29	0	3165	614	0	
1890598	1377	32	0	0	1345	0	0	
1892154	1174	45	25	0	1141	37	0	
1893263	889	15	0	0	881	7	0	
1893272	456	15	0	0	444	3	0	
1897168	512	27	9	0	520	44	0	
1897270	1487	108	11	0	1377	9	0	
1898419	448	38	1	0	445	36	0	
1899902	850	50	8	0	923	131	0	
1900675	401	9	1	0	391	0	0	
1901243	1929	87	2	0	1843	3	0	
1904020	0	0	0	0	0	0	0	
1904673	4441	50	17	0	4379	5	0	
1906172	0	0	0	0	0	0	0	
1907599	0	0	0	0	0	0	0	
1908082	2494	200	3	0	2292	1	0	
1914421	776	31	3	0	746	4	0	
1916612	2047	98	6	0	2106	163	0	
1916751	46243	10500	1304	0	44980	10541	0	
1917301	3658	928	75	0	3298	643	0	
1918344	5181	275	0	0	4906	0	0	
1919556	1777	42	17	0	1747	29	0	
