RCON0211,RCON1039,RCON1041,RCON1042,RCON1043,RCON1044,RCON1209,RCON1280,RCON1281,RCON1282,RCON1287,RCON1374,RCON1709,RCON1713,RCON1733,RCON1736,RCON1752,RCON1754,RCON1773,RCON2155,RCON2163,RCON2192,RCON2920,RCON2941,RCON3129,RCON3190,RCON3545,RCON3548,RCON8492,RCON8495,RCON8496,RCON8499,RCONA510,RCONB989,RCONB995,RCONG389,RCONG390,RCONG393,RCONG394,RCONG397,RCONG398,RCONG399,RCONG400,RCONHT71,RCONJA22,RCONJF75,IDRSSD,RCON9999
0,,,,,,,,,,0,,0,0,0,1588,10973,0,87576,,,,,,,159998,0,0,,,0,7889,70,0,0,,,,,,,,,,,,23812,2009-03-31
1996,,,,,,,,,,9604,,0,0,0,0,1099,254350,79849,,,,,,,0,0,0,,,16634,7102,7,0,0,,,,,,,,,,,,24006,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,3590,0,11925,,,,,,,49852,0,0,,,0,0,0,0,0,,,,,,,,,,,,24453,2009-03-31
0,,,,,,,,,,705,,0,0,0,0,0,152,1240,,,,,,,0,0,0,,,152,0,0,0,0,,,,,,,,,,,,24659,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1119,0,55826,,,,,,,17000,0,0,,,0,42520,0,0,6681,,,,,,,,,,,,24668,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,29,0,0,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,24855,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,3058,0,36131,,,,,,,12600,0,0,,,0,26038,0,0,1378,,,,,,,,,,,,24949,2009-03-31
0,,,,,,,,,,0,,0,0,37190,0,4072,68965,4322,,,,,,,39500,0,0,,,0,1506,0,0,0,,,,,,,,,,,,25357,2009-03-31
500,,,,,,,,,,0,,0,0,0,0,0,3732,6989,,,,,,,0,0,0,,,2732,0,0,4000,0,,,,,,,,,,,,25647,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,0,18222,,,,,,,0,0,0,,,0,4658,0,0,729,,,,,,,,,,,,26149,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1983,0,85853,,,,,,,0,0,0,,,0,38322,0,0,5237,,,,,,,,,,,,26242,2009-03-31
0,,,,,,,,,,505,,0,0,0,0,0,0,4248,,,,,,,0,0,0,,,0,347,0,0,0,,,,,,,,,,,,26457,2009-03-31
0,,,,,,,,,,0,,0,0,2131,0,2089,2341,64328,,,,,,,28000,0,0,,,105,1123,0,0,0,,,,,,,,,,,,26765,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1807,996,0,,,,,,,26601,0,0,,,0,0,0,0,0,,,,,,,,,,,,26859,2009-03-31
0,,,,,,,,,,1502,,0,0,0,0,4995,5,112049,,,,,,,90708,0,0,,,0,5923,0,0,9095,,,,,,,,,,,,26916,2009-03-31
0,,,,,,,,,,0,,0,0,0,48146,4114,0,103331,,,,,,,70467,17693,0,,,0,21226,0,33462,0,,,,,,,,,,,,27548,2009-03-31
0,,,,,,,,,,1600,,0,0,0,0,1486,0,65977,,,,,,,3000,0,0,,,0,32164,4066,0,0,,,,,,,,,,,,27614,2009-03-31
0,,,,,,,,,,1011,,0,0,0,4889,2108,2938,117165,,,,,,,34590,0,0,,,953,27746,0,0,0,,,,,,,,,,,,27847,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,326,3985,3221,,,,,,,2278,0,0,,,2536,416,0,0,0,,,,,,,,,,,,28152,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,408,0,37420,,,,,,,0,0,0,,,0,0,99,0,0,,,,,,,,,,,,28255,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1444,6810,19682,,,,,,,15000,0,0,,,6810,0,0,0,419,,,,,,,,,,,,28349,2009-03-31
0,,,,,,,,,,806,,0,0,0,0,4724,0,519051,,,,,,,0,0,0,,,0,2381,38722,0,0,,,,,,,,,,,,28406,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1122,177,3340,,,,,,,11992,0,0,,,0,0,0,0,0,,,,,,,,,,,,28572,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,516,0,17512,,,,,,,3000,0,0,,,0,2652,0,0,0,,,,,,,,,,,,28732,2009-03-31
0,,,,,,,,,,150,,0,0,0,30912,10228,0,265632,,,,,,,170259,0,0,,,0,33492,41038,416,79951,,,,,,,,,,,,29104,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,1400,0,27436,,,,,,,900,0,0,,,0,22027,0,0,0,,,,,,,,,,,,29252,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,4393,0,269398,,,,,,,80155,0,0,,,0,81840,0,0,63420,,,,,,,,,,,,29636,2009-03-31
0,,,,,,,,,,0,,0,0,0,0,0,9628,2058,,,,,,,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,29850,2009-03-31
