RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
44312,36184,0,0,6307,0,0,36184,0,0,6658,354552,2019-09-30
7750,7124,0,0,150,0,0,7124,0,0,50,354851,2019-09-30
62965,58619,0,0,479,0,0,58619,0,0,492,355120,2019-09-30
38823,34701,0,0,921,0,0,34701,0,0,2937,355559,2019-09-30
272167,250841,0,0,2913,0,0,250841,0,0,2714,355858,2019-09-30
33063,32807,0,0,2078,0,0,32807,0,0,1351,356239,2019-09-30
34959,32546,0,0,0,0,0,32546,0,0,208,356659,2019-09-30
7347,6721,0,0,0,0,0,6721,0,0,490,356752,2019-09-30
21502,20725,0,0,0,0,0,20725,0,0,0,357151,2019-09-30
14789,14044,0,0,600,0,180,14224,0,0,-33,357526,2019-09-30
26380,24522,0,0,921,0,0,24522,0,0,868,357553,2019-09-30
34869,33730,0,0,0,0,0,33730,0,0,0,357777,2019-09-30
35386,33081,0,0,517,0,0,33081,0,0,319,357937,2019-09-30
22125,20915,0,0,195,0,0,20915,0,0,545,358112,2019-09-30
9764,9133,0,0,152,0,0,9133,0,0,368,358448,2019-09-30
5990,5535,0,0,255,0,0,5535,0,0,365,358756,2019-09-30
16340,15956,0,0,0,0,0,15956,0,0,97,359472,2019-09-30
2481,2362,0,0,0,0,0,2362,0,0,55,359650,2019-09-30
6763,6128,0,0,300,0,0,6128,0,0,492,359744,2019-09-30
11381,9691,0,0,0,0,0,9691,0,0,1219,359838,2019-09-30
6879,6727,0,0,0,0,0,6727,0,0,0,360777,2019-09-30
89831,82639,0,0,10472,0,0,82639,0,0,6525,361055,2019-09-30
942062,875814,0,0,50000,0,-16452,859362,1753,0,66919,361167,2019-09-30
15778,14461,0,0,0,0,0,14461,0,0,241,361279,2019-09-30
9166,8423,0,0,0,0,0,8423,0,0,631,361354,2019-09-30
41312,38960,0,0,1580,50,0,38960,0,0,478,361439,2019-09-30
4345,3874,0,0,300,0,0,3874,0,0,429,362043,2019-09-30
20304,18612,0,0,0,0,0,18612,0,0,444,362155,2019-09-30
120293,112761,0,-579,3155,0,0,112761,0,0,2358,362717,2019-09-30
21786,18363,0,0,47,0,0,18363,0,0,2158,362856,2019-09-30
10819,9889,0,0,150,0,0,9889,0,0,376,362940,2019-09-30
3977,4076,0,0,0,0,0,4076,0,0,22,363442,2019-09-30
26974,23968,0,0,565,0,0,23968,0,0,2358,363648,2019-09-30
99508,90785,0,0,8040,0,0,90785,0,0,7384,363657,2019-09-30
7868,7672,0,0,0,0,0,7672,0,0,0,363778,2019-09-30
16027,14897,0,0,500,0,0,14897,0,0,387,364131,2019-09-30
17055,16719,0,0,256,0,0,16719,0,0,0,364270,2019-09-30
14681,14033,0,0,1083,0,0,14033,0,0,441,364430,2019-09-30
8844,8265,0,0,100,0,0,8265,0,0,18,364850,2019-09-30
3531375,3478956,0,0,190000,0,-1049,3477907,0,0,40746,365325,2019-09-30
35269,30439,0,0,0,0,0,30439,0,0,2028,365745,2019-09-30
13343,12378,0,0,168,0,0,12378,0,0,964,365848,2019-09-30
7427,10894,-3679,0,0,0,0,10894,0,0,109,365950,2019-09-30
43182,41521,0,0,1200,0,0,41521,0,0,-1076,366078,2019-09-30
111636,106416,0,0,7500,0,0,106416,0,0,3546,366238,2019-09-30
19987,18829,0,0,300,0,0,18829,0,0,212,366247,2019-09-30
6031,5325,0,0,580,0,0,5325,0,0,215,366359,2019-09-30
11381,10590,0,0,174,0,0,10590,0,0,351,366658,2019-09-30
3477,3744,0,0,26,0,0,3744,0,0,-1,366854,2019-09-30
7344,6371,0,0,129,0,0,6371,0,0,285,367150,2019-09-30
21116,20061,0,0,0,0,0,20061,0,0,0,367178,2019-09-30
29518,27351,0,0,0,0,0,27351,29,0,236,367431,2019-09-30
45703,41707,0,0,1250,0,0,41707,0,0,1633,367543,2019-09-30
22313,19297,0,0,0,0,0,19297,0,0,1613,368054,2019-09-30
16717,14900,0,0,1125,0,0,14900,0,0,1121,368344,2019-09-30
17133,16253,0,0,794,0,0,16253,0,0,390,368522,2019-09-30
